Rk,School,G,W,L,W-L%,SRS,SOS,W_1,L_1,W_2,L_2,W_3,L_3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,in_tourney
128,Kent State,31,22,9,0.71,7.77,0.77,13.0,5.0,11,3,8,5,2256,1987,,,0.323,0.387,0.546,50.5,64.9,,6.7,0.514,16.2,,0.231,False
129,Kentucky,32,27,5,0.844,18.83,8.54,13.0,3.0,11,2,7,2,2365,2036,,,0.343,0.313,0.556,53.6,58.5,,6.3,0.527,18.0,,0.239,True
130,La Salle,30,10,20,0.333,-1.93,2.9,5.0,11.0,5,8,4,6,1953,2098,,,0.363,0.341,0.505,47.9,48.2,,3.6,0.465,17.3,,0.255,False
131,Lafayette,28,18,10,0.643,-5.21,-6.37,9.0,5.0,11,2,7,7,2118,2035,,,0.403,0.365,0.587,48.0,58.7,,8.1,0.556,19.2,,0.288,False
132,Lamar,29,11,18,0.379,-11.18,-6.18,5.0,11.0,11,5,0,11,2294,2315,,,0.355,0.329,0.505,47.3,50.2,,6.8,0.466,16.2,,0.247,False
133,Lehigh,31,20,11,0.645,-7.3,-8.88,10.0,4.0,13,1,5,9,2082,1974,,,0.346,0.334,0.52,51.5,56.5,,6.4,0.482,18.4,,0.248,True
134,Liberty,33,18,15,0.545,-3.12,-4.22,12.0,4.0,13,2,4,10,2284,2224,,,0.34,0.35,0.514,51.5,56.3,,5.5,0.482,19.2,,0.23,True
135,Lipscomb,28,7,21,0.25,-15.18,-4.52,4.0,16.0,5,9,1,12,1945,2170,,,0.416,0.32,0.532,46.9,48.5,,5.4,0.502,19.7,,0.268,False
136,Little Rock,29,17,12,0.586,-1.01,-3.97,9.0,5.0,12,2,3,8,2081,1895,,,0.47,0.292,0.541,53.5,49.9,,6.0,0.491,19.1,,0.339,False
137,Long Beach State,27,6,21,0.222,-10.95,-0.6,4.0,14.0,5,8,1,13,1698,1958,,,0.364,0.291,0.495,47.1,55.1,,5.0,0.462,19.8,,0.238,False
138,Long Island University,27,8,19,0.296,-14.41,-8.11,4.0,14.0,7,6,1,13,1871,2042,,,0.397,0.337,0.514,49.4,54.1,,5.2,0.481,21.0,,0.261,False
139,Louisiana,29,20,9,0.69,6.24,0.42,12.0,3.0,10,1,6,7,2234,2000,,,0.341,0.372,0.56,48.7,59.5,,3.7,0.534,17.4,,0.235,True
140,Louisiana State,29,18,11,0.621,9.1,6.59,8.0,8.0,12,3,4,7,1924,1851,,,0.456,0.336,0.532,52.6,52.7,,7.3,0.498,19.1,,0.299,False
141,Louisiana Tech,30,15,15,0.5,2.27,2.55,8.0,10.0,8,5,6,9,2011,1994,,,0.382,0.267,0.508,54.9,46.1,,5.2,0.474,20.0,,0.252,False
142,Louisiana-Monroe,31,12,19,0.387,-11.58,-4.01,8.0,8.0,9,4,3,13,2117,2241,,,0.342,0.298,0.495,49.4,51.0,,5.7,0.464,20.9,,0.222,False
143,Louisville,30,20,10,0.667,18.6,6.97,9.0,7.0,13,2,5,6,2195,1846,,,0.365,0.406,0.532,50.2,62.4,,9.0,0.488,16.7,,0.273,True
144,Loyola (IL),29,9,20,0.31,-4.14,1.17,4.0,12.0,4,7,4,12,2033,2187,,,0.373,0.277,0.508,49.5,50.4,,7.4,0.476,18.6,,0.243,False
145,Loyola (MD),28,1,27,0.036,-18.26,-4.12,1.0,17.0,1,11,0,13,1678,2074,,,0.313,0.377,0.472,46.7,56.8,,4.7,0.439,19.9,,0.207,False
146,Loyola Marymount,29,15,14,0.517,-2.14,0.04,5.0,9.0,8,6,5,7,1962,2005,,,0.298,0.22,0.505,48.2,56.4,,7.2,0.474,18.2,,0.206,False
147,Maine,30,20,10,0.667,-5.07,-8.39,12.0,6.0,9,4,8,6,2056,1881,,,0.41,0.401,0.55,51.3,57.7,,6.8,0.511,19.5,,0.293,False
148,Manhattan,31,25,6,0.806,9.3,-1.25,16.0,2.0,13,2,8,3,2311,1984,,,0.463,0.284,0.549,50.9,44.4,,7.8,0.494,15.8,,0.352,True
149,Marist,28,6,22,0.214,-11.67,-2.67,4.0,14.0,5,9,0,12,1722,1974,,,0.268,0.321,0.47,48.0,59.9,,5.2,0.443,17.7,,0.174,False
150,Marquette,31,19,12,0.613,6.48,4.12,8.0,8.0,15,3,4,7,2207,2124,,,0.398,0.335,0.541,53.0,54.2,,4.4,0.495,18.0,,0.298,False
