season,round,round_num,team1,seed1,score1,team2,seed2,score2,winner,winner_idx,score_diff
2012,R64,1,Temple,5.0,44.0,South Florida,12.0,58.0,South Florida,2.0,-14.0
2012,R64,1,Michigan,4.0,60.0,Ohio,13.0,65.0,Ohio,2.0,-5.0
2012,R64,1,San Diego State,6.0,65.0,NC State,11.0,79.0,NC State,2.0,-14.0
2012,R64,1,Georgetown,3.0,74.0,Belmont,14.0,59.0,Georgetown,1.0,15.0
2012,R64,1,Saint Mary's,7.0,69.0,Purdue,10.0,72.0,Purdue,2.0,-3.0
2012,R64,1,Kansas,2.0,65.0,Detroit Mercy,15.0,50.0,Kansas,1.0,15.0
2012,R32,2,UNC,1.0,87.0,Creighton,8.0,73.0,UNC,1.0,14.0
2012,R32,2,South Florida,12.0,56.0,Ohio,13.0,62.0,Ohio,2.0,-6.0
2012,R32,2,NC State,11.0,66.0,Georgetown,3.0,63.0,NC State,1.0,3.0
2012,R32,2,Purdue,10.0,60.0,Kansas,2.0,63.0,Kansas,2.0,-3.0
2012,S16,3,UNC,1.0,73.0,Ohio,13.0,65.0,UNC,1.0,8.0
2012,S16,3,NC State,11.0,57.0,Kansas,2.0,60.0,Kansas,2.0,-3.0
2012,E8,4,UNC,1.0,67.0,Kansas,2.0,80.0,Kansas,2.0,-13.0
2012,R64,1,Kentucky,1.0,81.0,Western Kentucky,16.0,66.0,Kentucky,1.0,15.0
2012,R64,1,Iowa State,8.0,77.0,UConn,9.0,64.0,Iowa State,1.0,13.0
2012,R64,1,Wichita State,5.0,59.0,VCU,12.0,62.0,VCU,2.0,-3.0
2012,R64,1,Indiana,4.0,79.0,New Mexico State,13.0,66.0,Indiana,1.0,13.0
2012,R64,1,UNLV,6.0,64.0,Colorado,11.0,68.0,Colorado,2.0,-4.0
2012,R64,1,Baylor,3.0,68.0,South Dakota State,14.0,60.0,Baylor,1.0,8.0
2012,R64,1,Notre Dame,7.0,63.0,Xavier,10.0,67.0,Xavier,2.0,-4.0
2012,R64,1,Duke,2.0,70.0,Lehigh,15.0,75.0,Lehigh,2.0,-5.0
2012,R32,2,Kentucky,1.0,87.0,Iowa State,8.0,71.0,Kentucky,1.0,16.0
2012,R32,2,VCU,12.0,61.0,Indiana,4.0,63.0,Indiana,2.0,-2.0
2012,R32,2,Colorado,11.0,63.0,Baylor,3.0,80.0,Baylor,2.0,-17.0
2012,R32,2,Xavier,10.0,70.0,Lehigh,15.0,58.0,Xavier,1.0,12.0
2012,S16,3,Kentucky,1.0,102.0,Indiana,4.0,90.0,Kentucky,1.0,12.0
2012,S16,3,Baylor,3.0,75.0,Xavier,10.0,70.0,Baylor,1.0,5.0
2012,E8,4,Kentucky,1.0,82.0,Baylor,3.0,70.0,Kentucky,1.0,12.0
2012,R64,1,Michigan State,1.0,89.0,LIU,16.0,67.0,Michigan State,1.0,22.0
2012,R64,1,Memphis,8.0,54.0,Saint Louis,9.0,61.0,Saint Louis,2.0,-7.0
2012,R64,1,New Mexico,5.0,75.0,Long Beach State,12.0,68.0,New Mexico,1.0,7.0
2012,R64,1,Louisville,4.0,69.0,Davidson,13.0,62.0,Louisville,1.0,7.0
2012,R64,1,Murray State,6.0,58.0,Colorado State,11.0,41.0,Murray State,1.0,17.0
2012,R64,1,Marquette,3.0,88.0,BYU,14.0,68.0,Marquette,1.0,20.0
2012,R64,1,Florida,7.0,71.0,Virginia,10.0,45.0,Florida,1.0,26.0
