rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
11,Gonzaga,WCC,30-3,120.30251172300305,37,93.90084523560992,9,0.945285400126241,11,30.93641039602075,3.0635896039792483,16.0,2.0,16-2,0.6286843419372186,0.6413163875955378,0.6111366759282114,0.6260716668960858,0.6413163875955378,0.6111366759282114,0.7527765667860363,0.7048401756218753,113.30504330134374,106.28171659207518,113.23228469674648,106.3705567203199,118.44948815590868,94.73030769358691,121.99503288824371,93.14696337564001,0.9570048473164304,11.0,0.0787298812009597,1465.0,1177.0,1247.2875000000004,1.1745487708327067,0.9436477155427274,0.0,0.8888888888888888,7.3584320058613475,12,24,68.91813749264954
12,Michigan St.,B10,25-7,122.86755546658603,28,96.08104658031533,17,0.9441714075959741,12,25.90614009178493,7.09385990821507,15.0,5.0,15-5,0.746974203042485,0.5799576668857314,0.8306167354701686,0.7436294855974079,0.5799576668857314,0.8306167354701686,0.6270005791918509,0.7633480210223226,118.49065111025952,103.91038265147918,118.27279771809937,103.97387470919504,123.35041641071248,95.12234168829947,123.60227508307983,94.14626401253214,0.9581343711453892,18.0,0.06137772449295831,1539.0,1368.0,1323.2625,1.1630345452999689,1.0338084847110833,0.0,0.75,7.41505011364664,11,52,65.96659575096069
13,Texas Tech,B12,22-10,126.23417425696883,10,98.72597109075943,27,0.9440960379501447,13,22.83268460163718,10.167315398362822,12.0,6.0,12-6,0.7602020405693976,0.6420780091143776,0.8340982180057692,0.7605711721888982,0.6420780091143776,0.8340982180057692,0.6018695592870544,0.6860417144610229,118.22060742569045,102.63892105957434,118.18777048878664,102.7204712698897,128.89472701819952,98.16450935945072,127.82596340691896,100.30764951575863,0.9420194751858392,17.0,-0.005344810433010605,1431.0,1298.0,1207.6000000000001,1.1849950314673732,1.0748592249089102,0.0,0.6666666666666666,5.015619316825879,20,189,66.38326970455203
14,Virginia,ACC,29-5,122.25876184213163,29,95.82641143670239,15,0.9427523347899147,14,29.92109105036587,5.078908949634128,15.0,3.0,15-3,0.6761694867004779,0.46183120087345675,0.7914781285018165,0.673570326093599,0.46183120087345675,0.7914781285018165,0.6992379630758639,0.8332320084106495,114.92349831795376,105.75349524433538,114.84702882665248,105.8444722868294,119.77507544419417,94.05467124550195,123.04564656798928,95.09153523600445,0.9509082957277532,13.0,0.07325808865299688,1391.0,1252.0,1232.3375,1.1287492265714545,1.015955450515788,0.0,0.8333333333333334,7.693482948844642,8,32,65.57052819639844
15,St. John's,BE,28-6,119.69485214159354,43,93.98245064753542,10,0.9416476572905808,15,28.82349901269534,6.176500987304661,18.0,2.0,18-2,0.7289994953668302,0.6154318556972695,0.774949028417176,0.7303343641245892,0.6154318556972695,0.774949028417176,0.6893681484285378,0.7404693237189398,114.85873076426475,103.4321231230597,114.71179409271703,103.2910201397574,119.24974601238242,95.17630357619416,124.02493621651902,96.74169745210152,0.94568137330632,11.0,0.04278087798250041,1587.0,1393.0,1401.6375,1.1322471038339086,0.9938375649909481,0.0,0.9,7.191712174023222,15,81,69.59099539717742
16,Tennessee,SEC,22-11,121.41256388408738,32,95.42004019238973,13,0.9410560689512076,16,22.0,11.0,11.0,7.0,11-7,0.7318365296847718,0.5267927840233069,0.8610770063349238,0.7318365296847718,0.5267927840233069,0.8610770063349238,0.6145030817255979,0.7424605638730496,118.2062989039172,104.91330040213157,118.2062989039172,104.91330040213157,121.85476735897257,96.5134146509705,122.92509117608012,97.83498974080106,0.9324764862925445,17.0,-0.04001759481334455,1391.0,1324.0,1220.625,1.1395801331285202,1.0846902201740911,0.0,0.6111111111111112,4.058162388507359,23,271,65.21342528237817
17,Louisville,ACC,23-10,123.95962906396849,19,98.0885346523201,23,0.9365519024040743,17,23.74266941263411,10.25733058736589,11.0,7.0,11-7,0.708266495244075,0.554085703197526,0.8013533628266554,0.712036780673875,0.554085703197526,0.8013533628266554,0.64721977782171,0.740103173717684,115.34547075935463,103.73166826240657,115.38576283609484,103.65934706223081,125.70110517421071,99.480671260169,120.82000394361906,101.75008922687452,0.878200097056432,16.0,-0.027900009383888036,1481.0,1357.0,1260.2875000000001,1.1751286908741059,1.07673844261726,0.0,0.6111111111111112,3.938006405913668,26,243,69.70047411711157
18,Alabama,SEC,23-9,129.47545014977186,3,102.72659541649281,67,0.9347060553342109,18,23.85663464918027,9.143365350819732,13.0,5.0,13-5,0.7896030804859587,0.7136638944922089,0.8444422551871125,0.7870550675788488,0.7136638944922089,0.8444422551871125,0.598173637206701,0.62723489108978,119.05073460055227,102.85056761926187,118.86944878122333,102.90952342090237,128.51527799589394,102.86789796533654,128.8637149605227,103.59264674554494,0.9248623924623384,15.0,0.04635608935409241,1627.0,1530.0,1342.1499999999999,1.2122341020005216,1.1399620012666245,0.0,0.7222222222222222,6.505696858772534,17,77,73.04465128085093
19,Arkansas,SEC,26-8,127.88074340177704,5,101.54169448156783,50,0.9341482632069527,19,26.89263657680892,8.107363423191082,13.0,5.0,13-5,0.7464012261302105,0.5789600521155337,0.8467200289148692,0.7430891432998015,0.5789600521155337,0.8467200289148692,0.6225211640293108,0.699899274876495,118.45378671654272,104.14246704683217,118.11760593950208,104.07680582111865,129.04759653513187,102.44832954014892,125.70256272445424,101.76863228605278,0.9190114382827277,16.0,0.07443836307433405,1620.0,1506.0,1327.5249999999996,1.2203160015818915,1.1344419125816843,0.0,0.7222222222222222,7.485558437604004,9,29,70.9624039822431
20,Nebraska,B10,26-6,117.13081144113536,64,93.38579410369178,7,0.9312050645110789,20,26.918322129629527,6.0816778703704735,15.0,5.0,15-5,0.6957273639997138,0.41557075125837223,0.8364029374375402,0.6911981516884839,0.41557075125837223,0.8364029374375402,0.6531355453388752,0.8832294185136881,116.31986350179888,104.71670754875804,116.14739705641922,104.84218620269795,119.6710899059573,91.50820878480998,119.62403521954982,93.78181825888545,0.9426164614413032,15.0,0.10531135950329185,1502.0,1324.0,1326.75,1.1320896928584887,0.997927265875259,0.0,0.75,7.437314712757659,10,9,66.80746034220213
