region,seed,team,record,wins,losses,win_pct,SRS,SOS,FG%,3P%,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Tm.,Opp.,Pace,ORtg,eFG%,TOV%,ORB%,FT/FGA,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,bt_rank,bt_Conf,bt_AdjOE,bt_oe Rank,bt_AdjDE,bt_de Rank,bt_Barthag,bt_rank.1,bt_proj. W,bt_Proj. L,bt_Pro Con W,bt_Pro Con L,bt_sos,bt_ncsos,bt_consos,bt_Proj. SOS,bt_Proj. Noncon SOS,bt_Proj. Con SOS,bt_elite SOS,bt_elite noncon SOS,bt_Opp OE,bt_Opp DE,bt_Opp Proj. OE,bt_Opp Proj DE,bt_Con Adj OE,bt_Con Adj DE,bt_Qual O,bt_Qual D,bt_Qual Barthag,bt_Qual Games,bt_FUN,bt_ConPF,bt_ConPA,bt_ConPoss,bt_ConOE,bt_ConDE,bt_ConSOSRemain,bt_Conf Win%,bt_WAB,bt_WAB Rk,bt_Fun Rk,bt_AdjTempo,pts_margin,SRS_sq,efg_above_avg
East,3,Michigan St.,25-7,25.0,7.0,0.78125,23.44,12.91,0.471,0.359,0.763,407,1275,591,164,131,368,521,2526,2189,66.8,117.3,0.536,14.4,38.5,0.276,0.362,0.364,0.575,58.5,67.0,7.6,13.3,12,B10,122.86755546658604,28,96.08104658031532,17,0.944171407595974,12,25.90614009178493,7.09385990821507,15.0,5.0,0.746974203042485,0.5799576668857314,0.8306167354701686,0.7436294855974079,0.5799576668857314,0.8306167354701686,0.6270005791918509,0.7633480210223226,118.49065111025952,103.91038265147918,118.27279771809935,103.97387470919504,123.35041641071248,95.12234168829949,123.60227508307985,94.14626401253214,0.9581343711453892,18.0,0.0613777244929583,1539.0,1368.0,1323.2625,1.1630345452999689,1.033808484711083,0.0,0.75,7.41505011364664,11,52,65.96659575096069,337,549.4336000000001,-0.007078124999999935
East,14,North Dakota St.,27-7,27.0,7.0,0.7941176470588235,2.5,-5.79,0.468,0.365,0.725,395,1239,528,283,97,366,499,2745,2366,68.5,116.1,0.545,13.2,33.3,0.223,0.308,0.419,0.573,53.5,53.9,12.0,9.0,115,Sum,111.3014893332048,122,106.00562040723896,120,0.6365985350165483,115,27.09385990821507,7.90614009178493,14.0,2.0,0.3392386161039158,0.370230320622374,0.3211319310329421,0.3565224101507859,0.370230320622374,0.3211319310329421,0.9097632731537872,0.9109825488678857,106.00892918942216,111.8906733411664,106.53576126113744,111.39662250458794,113.97465930390292,109.32311954243426,0.0,0.0,0.0,0.0,0.0492396010272427,1312.0,1136.0,1088.4375000000002,1.205397645707723,1.043697961527419,0.0,0.875,-3.4149706470789996,83,70,66.34185100296514,379,6.25,0.0019218750000000728
East,7,UCLA,23-11,23.0,11.0,0.6764705882352942,18.28,11.55,0.471,0.382,0.767,339,1098,555,223,99,302,582,2643,2414,65.7,117.0,0.539,11.6,31.1,0.254,0.331,0.359,0.576,49.6,59.4,9.9,9.4,25,B10,124.51810120749752,17,101.68402910438184,52,0.911305452535664,25,23.704450605831024,11.295549394168978,13.0,7.0,0.7139050969356712,0.4861660051086151,0.8193060745955641,0.7166992505510816,0.4861660051086151,0.8193060745955641,0.637560686459802,0.8020295917413864,116.2822206011565,103.46567153143891,116.3858270884032,103.52670722622028,124.97417496160854,102.53910749471872,125.01471870443372,105.13008460366068,0.8799735220225872,15.0,0.0199771729947089,1511.0,1445.0,1295.3625000000002,1.166468845593415,1.115517856970539,0.0,0.65,3.587525077834746,29,128,64.67334941988,229,334.15840000000003,-0.0040781249999999325
East,10,UCF,21-11,21.0,11.0,0.65625,13.3,10.8,0.466,0.362,0.74,396,1190,504,181,96,358,560,2591,2511,70.6,113.7,0.528,13.4,34.4,0.228,0.308,0.344,0.56,52.6,53.6,7.9,8.3,58,B12,119.90844768521151,39,105.6019208233268,113,0.8117004743447366,58,21.295549394168976,11.704450605831022,9.0,9.0,0.7096654469794419,0.4776263902718913,0.8394638419598575,0.7157757501683406,0.4776263902718913,0.8394638419598575,0.654725805386632,0.8501953713044067,114.55977385578088,103.04182063822586,114.86154135101368,103.0006754410763,121.36893757368205,105.850021735016,119.7661441107305,104.47186545146612,0.8279499423212009,13.0,0.1172290463381696,1406.0,1466.0,1271.6,1.1056936143441332,1.152878263604907,0.0,0.5,2.0655362692567074,37,7,69.09443395594214,80,176.89000000000001,-0.015078124999999942
East,2,UConn,29-5,29.0,5.0,0.8529411764705882,22.92,10.53,0.482,0.352,0.716,395,1243,625,234,179,380,612,2635,2214,66.0,116.5,0.553,14.3,35.7,0.215,0.3,0.403,0.578,54.2,65.0,10.3,15.2,9,BE,123.03923932083666,25,94.91357749538751,12,0.9518767621172636,9,29.96125994270949,5.038740057290509,17.0,3.0,0.7139485671339304,0.5823190220147828,0.7738942874617005,0.7062233625258122,0.5823190220147828,0.7738942874617005,0.6737255786856399,0.6503134967939274,114.59011759115754,103.506907201463,114.3683160210901,103.66253402223376,123.23204483143324,95.40955402034216,122.79555928112048,91.57989178453998,0.9668517408355348,11.0,0.0679800280490451,1554.0,1343.0,1335.8125,1.163336920413606,1.005380620408927,0.0,0.85,8.795611935183612,6,41,64.57106634467051,421,525.3264,0.00992187500000008
East,15,Furman,22-12,22.0,12.0,0.6470588235294118,-3.24,-6.14,0.476,0.327,0.69,370,1291,532,163,112,406,513,2600,2397,66.7,113.4,0.553,15.2,32.7,0.219,0.317,0.47,0.575,54.2,57.0,7.1,9.6,194,SC,106.82706261593296,202,108.95384594895008,184,0.4435664047079746,194,22.03874005729051,12.961259942709493,10.0,8.0,0.3175603633591098,0.3636573373032062,0.2798119948292404,0.3356836890576533,0.3636573373032062,0.2798119948292404,0.9150122914303208,0.9080153525591614,107.18766903158335,114.39804612879529,107.68303060557874,113.78915648200612,104.42067190309496,107.65819193741666,0.0,0.0,0.0,0.0,0.0063244234082227,1335.0,1265.0,1199.7875,1.1126970401008511,1.0543533750768364,0.0,0.5555555555555556,-8.75990770174605,173,158,65.82752514264571,203,10.497600000000002,0.00992187500000008
West,1,Arizona,32-2,32.0,2.0,0.9411764705882353,29.92,12.57,0.502,0.36,0.734,434,1446,576,266,144,368,544,2929,2339,71.3,120.3,0.551,12.9,38.1,0.315,0.429,0.268,0.588,57.3,55.4,10.9,10.8,3,B12,126.83987180305304,9,91.28748192945316,3,0.9777407163575806,3,32.988502934188645,2.0114970658113567,16.0,2.0,0.7384782586268003,0.5596257373834767,0.8380425683895594,0.7270398924252086,0.5596257373834767,0.8380425683895594,0.6218744721737773,0.7213143567808928,116.91614232773732,103.19017520322625,116.53375307517936,103.37785575990507,126.39681204638266,91.41986692567288,127.3996150021154,91.39108546196076,0.978544368513756,19.0,0.1000669336830486,1513.0,1265.0,1284.0875,1.178268614872429,0.9851353587664392,0.0,0.8888888888888888,13.606138100118663,3,12,70.01336071310018,590,895.2064000000001,0.007921875000000078
West,16,Long Island,24-10,24.0,10.0,0.7058823529411765,-4.96,-7.93,0.481,0.361,0.668,386,1190,464,266,183,442,599,2519,2418,68.1,108.3,0.533,16.4,34.3,0.232,0.347,0.29,0.557,51.3,49.7,11.4,13.9,239,BW,104.09866625425414,261,110.78352346431844,220,0.3283301454375492,239,10.0,22.0,6.0,14.0,0.4846500884968307,0.4954829417878048,0.4781503765222463,0.4846500884968307,0.4954829417878048,0.4781503765222463,0.8524718765837531,0.7978053198698868,108.15059815780516,107.10725822144995,108.15059815780516,107.10725822144995,104.03061726307268,109.37875868717838,85.09585861393657,103.54773034882425,0.0947538476277549,2.0,-0.0698277874635016,1498.0,1558.0,1453.5875,1.0305537162365526,1.0718309011325426,0.0,0.3,-15.797066402951282,313,336,68.40594375546016,101,24.6016,-0.010078124999999938
West,8,Villanova,24-8,24.0,8.0,0.75,16.3,9.93,0.457,0.353,0.694,369,1103,496,238,70,324,513,2469,2265,66.4,114.8,0.537,12.9,32.4,0.217,0.313,0.457,0.562,49.8,56.8,11.1,6.0,36,BE,119.50154200432138,45,100.4509116441485,38,0.8804913389364744,36,24.458072354475064,8.541927645524936,15.0,5.0,0.7068732303206855,0.5672130606803003,0.7812044084501597,0.7126370817591985,0.5672130606803003,0.7812044084501597,0.6927007386790002,0.7671840388165161,114.67172715903772,103.99191838238252,114.92625750269217,103.93005077490828,119.7263376667498,99.60081568260932,111.486418971145,97.46592578123403,0.8242772310338962,8.0,0.0838509941020156,1525.0,1440.0,1360.9,1.1205819678154163,1.058123300756852,0.0,0.75,3.889662593122051,27,20,64.93302790520046,204,265.69,-0.006078124999999934
West,9,Utah St.,28-6,28.0,6.0,0.8235294117647058,17.36,6.51,0.498,0.358,0.707,371,1176,599,299,99,360,642,2806,2392,68.5,120.0,0.572,13.3,33.3,0.267,0.378,0.412,0.599,51.3,60.5,12.8,8.8,28,MWC,123.07122862352816,24,101.95028722879404,54,0.897080329974193,28,28.541927645524936,6.458072354475064,15.0,5.0,0.6430312362021203,0.5135063685926066,0.6962275041601618,0.6498158106132287,0.5135063685926066,0.6962275041601618,0.7674126060744996,0.8450744185569046,112.43749563934756,105.24327079602512,112.64526171138218,105.10231905430648,125.46517130317064,104.03366396854744,121.58862084537782,101.47634101719984,0.8888851464441637,7.0,0.0546105166524567,1630.0,1453.0,1349.2499999999998,1.2080785621641654,1.0768945710579954,0.0,0.75,4.035290317881631,24,59,67.52235221634899,414,301.3696,0.028921874999999986
