season,round,round_num,team1,team2,seed1,seed2,seed_diff,seed_sum,seed_diff_sq,abs_seed_diff,higher_seed_is_team1,round_x_seeddiff,is_upset_seed,seed1_sq,seed2_sq,seed_product,log_seed_ratio,target,score_diff,SRS_diff,SOS_diff,eFG%_diff,TOV%_diff,SRS_sum,AdjOE_diff,AdjDE_diff,Barthag_diff,AdjTempo_diff,WAB_diff,AdjOE_avg,OE_vs_DE_1,OE_vs_DE_2,AdjDE_avg,AdjTempo_avg,ORtg_diff,Pace_diff,ORB%_diff,Pace_avg,ORtg_avg
2002,R64,1,Indiana,Utah,5.0,12.0,-7.0,17.0,49.0,7.0,1,-7.0,0,25.0,144.0,60.0,0.8754687373538999,1,19.0,8.500000000000002,6.89,-0.02100000000000002,-0.6000000000000014,29.880000000000003,,,,,,,,,,,,,,,
2002,R64,1,USC,UNC Wilmington,4.0,13.0,-9.0,17.0,81.0,9.0,1,-9.0,0,16.0,169.0,52.0,1.1786549963416462,0,-4.0,,,,,,,,,,,,,,,,,,,,
2002,R64,1,California,Penn,6.0,11.0,-5.0,17.0,25.0,5.0,1,-5.0,0,36.0,121.0,66.0,0.6061358035703155,1,7.0,5.12,8.96,-0.05500000000000005,-1.1999999999999993,21.04,,,,,,,,,,,,,,,
2002,R64,1,Pitt,Central Connecticut,3.0,14.0,-11.0,17.0,121.0,11.0,1,-11.0,0,9.0,196.0,42.0,1.540445040947149,1,17.0,15.78,13.82,0.029000000000000026,-0.8999999999999986,13.58,,,,,,,,,,,,,,,
2002,R64,1,Oklahoma State,Kent State,7.0,10.0,-3.0,17.0,9.0,3.0,1,-3.0,0,49.0,100.0,70.0,0.3566749439387324,0,-8.0,0.7300000000000004,4.709999999999999,-0.029000000000000026,4.300000000000001,28.07,,,,,,,,,,,,,,,
2002,R64,1,Alabama,Florida Atlantic,2.0,15.0,-13.0,17.0,169.0,13.0,1,-13.0,0,4.0,225.0,30.0,2.0149030205422647,1,8.0,20.87,12.99,0.02100000000000002,-0.6000000000000014,12.99,,,,,,,,,,,,,,,
2002,R32,2,Duke,Notre Dame,1.0,8.0,-7.0,9.0,49.0,7.0,1,-14.0,0,1.0,64.0,8.0,2.0794415416798357,1,7.0,13.24,3.0200000000000005,0.04499999999999993,0.5,44.58,,,,,,,,,,,,,,,
2002,R32,2,Indiana,UNC Wilmington,5.0,13.0,-8.0,18.0,64.0,8.0,1,-16.0,0,25.0,169.0,65.0,0.9555114450274363,1,9.0,13.020000000000001,12.16,0.03200000000000003,1.8999999999999986,25.36,,,,,,,,,,,,,,,
2002,R32,2,California,Pitt,6.0,3.0,3.0,9.0,9.0,3.0,0,6.0,1,36.0,9.0,18.0,-0.6931471805599453,0,-13.0,-1.5999999999999996,2.92,-0.02400000000000002,-1.3000000000000007,27.759999999999998,,,,,,,,,,,,,,,
2002,R32,2,Kent State,Alabama,10.0,2.0,8.0,12.0,64.0,8.0,0,16.0,1,100.0,4.0,20.0,-1.6094379124341003,1,13.0,-3.26,-5.57,0.030000000000000027,-2.6999999999999993,30.6,,,,,,,,,,,,,,,
