team,seed,region,prob_R64,prob_R32,prob_S16,prob_E8,prob_F4,prob_Championship,prob_Champion,own_R64,value_R64,own_R32,value_R32,own_S16,value_S16,own_E8,value_E8,own_F4,value_F4,own_Championship,value_Championship,own_Champion,value_Champion
TCU,9,East,1.0,0.190832,0.014357,0.00332,0.000686,8e-05,1.4e-05,0.4288571717793944,1.5327114627472325,0.1849972113558172,0.5271151494003623,0.06727171322029717,0.014357,0.021022410381342865,0.00332,0.006727171322029716,0.000686,0.0025226892457611435,8e-05,0.001,1.4e-05
UCF,10,East,1.0,0.16976,0.033663,0.005092,0.000506,8.1e-05,1.1e-05,0.3606244584051393,1.7091871077436038,0.15556349186104046,0.5383594442699211,0.05656854249492381,0.033663,0.01767766952966369,0.005092,0.005656854249492381,0.000506,0.002121320343559643,8.1e-05,0.001,1.1e-05
South Florida,11,East,1.0,0.214747,0.040003,0.00837,0.000816,0.000104,9e-06,0.30324781432569387,1.9190532003979839,0.1308127826502993,0.7855026817690526,0.04756828460010884,0.040003,0.014865088937534014,0.00837,0.004756828460010884,0.000816,0.0017838106725040815,0.000104,0.001,9e-06
Saint Louis,9,Midwest,1.0,0.300502,0.020991,0.00472,0.000929,8e-05,7e-06,0.4288571717793944,1.5327114627472325,0.1849972113558172,0.8300450481319048,0.06727171322029717,0.020991,0.021022410381342865,0.00472,0.006727171322029716,0.000929,0.0025226892457611435,8e-05,0.001,7e-06
VCU,11,South,1.0,0.23927,0.036118,0.005554,0.00072,9.9e-05,7e-06,0.30324781432569387,1.9190532003979839,0.1308127826502993,0.8752030373736593,0.04756828460010884,0.036118,0.014865088937534014,0.005554,0.004756828460010884,0.00072,0.0017838106725040815,9.9e-05,0.001,7e-06
Northern Iowa,12,East,1.0,0.168217,0.030368,0.002443,0.000379,4.4e-05,3e-06,0.255,2.168627450980392,0.11,0.7126283818181819,0.04,0.030368,0.0125,0.002443,0.004,0.000379,0.0015,4.4e-05,0.001,3e-06
McNeese,12,South,1.0,0.109126,0.020373,0.001622,0.000126,1.1e-05,1e-06,0.255,2.168627450980392,0.11,0.46229741818181813,0.04,0.020373,0.0125,0.001622,0.004,0.000126,0.0015,1.1e-05,0.001,1e-06
Long Island,16,West,1.0,0.024147,0.002001,0.000157,1.3e-05,0.0,0.0,0.1275,3.7372549019607844,0.055,0.19010274545454547,0.02,0.002001,0.00625,0.000157,0.002,1.3e-05,0.001,0.0,0.001,0.0
Siena,16,East,1.0,0.027119,0.002247,0.000216,2.7e-05,2e-06,0.0,0.1275,3.7372549019607844,0.055,0.2135004909090909,0.02,0.002247,0.00625,0.000216,0.002,2.7e-05,0.001,2e-06,0.001,0.0
Prairie View A&M,16,South,1.0,0.026156,0.002206,0.000149,1.2e-05,1e-06,0.0,0.1275,3.7372549019607844,0.055,0.20591905454545456,0.02,0.002206,0.00625,0.000149,0.002,1.2e-05,0.001,1e-06,0.001,0.0
Kennesaw St.,14,West,1.0,0.046873,0.00345,0.000268,1.4e-05,2e-06,0.0,0.18031222920256965,2.8183742154872076,0.07778174593052023,0.26917264476041486,0.028284271247461905,0.00345,0.008838834764831846,0.000268,0.0028284271247461905,1.4e-05,0.0010606601717798214,2e-06,0.001,0.0
Troy,13,South,1.0,0.054545,0.003225,0.000169,1.6e-05,4e-06,0.0,0.2144285858896972,2.465422925494465,0.0924986056779086,0.2686008257739034,0.03363585661014858,0.003225,0.010511205190671433,0.000169,0.003363585661014858,1.6e-05,0.0012613446228805717,4e-06,0.001,0.0
Hawaii,13,West,1.0,0.094099,0.011092,0.000649,5.7e-05,2e-06,0.0,0.2144285858896972,2.465422925494465,0.0924986056779086,0.46338012841687654,0.03363585661014858,0.011092,0.010511205190671433,0.000649,0.003363585661014858,5.7e-05,0.0012613446228805717,2e-06,0.001,0.0
High Point,12,West,1.0,0.088263,0.011632,0.000616,6.6e-05,4e-06,0.0,0.255,2.168627450980392,0.11,0.37391416363636365,0.04,0.011632,0.0125,0.000616,0.004,6.6e-05,0.0015,4e-06,0.001,0.0
Penn,14,South,1.0,0.04134,0.003447,0.00024,8e-06,1e-06,0.0,0.18031222920256965,2.8183742154872076,0.07778174593052023,0.2373988678854682,0.028284271247461905,0.003447,0.008838834764831846,0.00024,0.0028284271247461905,8e-06,0.0010606601717798214,1e-06,0.001,0.0
Wright St.,14,Midwest,1.0,0.035602,0.002392,0.000201,5e-06,1e-06,0.0,0.18031222920256965,2.8183742154872076,0.07778174593052023,0.20444785908220703,0.028284271247461905,0.002392,0.008838834764831846,0.000201,0.0028284271247461905,5e-06,0.0010606601717798214,1e-06,0.001,0.0
Queens (N.C.),15,West,1.0,0.033875,0.00275,0.00014,4e-06,0.0,0.0,0.15162390716284693,3.2381064007959677,0.06540639132514965,0.22749129866705156,0.02378414230005442,0.00275,0.007432544468767007,0.00014,0.002378414230005442,4e-06,0.001,0.0,0.001,0.0
Howard,16,Midwest,1.0,0.025785,0.002435,0.000169,1.3e-05,0.0,0.0,0.1275,3.7372549019607844,0.055,0.20299827272727272,0.02,0.002435,0.00625,0.000169,0.002,1.3e-05,0.001,0.0,0.001,0.0
Idaho,15,South,1.0,0.031945,0.003763,0.000261,1e-05,2e-06,0.0,0.15162390716284693,3.2381064007959677,0.06540639132514965,0.21453017080203574,0.02378414230005442,0.003763,0.007432544468767007,0.000261,0.002378414230005442,1e-05,0.001,2e-06,0.001,0.0
Cal Baptist,13,East,1.0,0.079015,0.009006,0.000544,3.7e-05,5e-06,0.0,0.2144285858896972,2.465422925494465,0.0924986056779086,0.38910063706160003,0.03363585661014858,0.009006,0.010511205190671433,0.000544,0.003363585661014858,3.7e-05,0.0012613446228805717,5e-06,0.001,0.0
Akron,12,Midwest,1.0,0.094627,0.015217,0.000963,0.000125,5e-06,0.0,0.255,2.168627450980392,0.11,0.40087438181818186,0.04,0.015217,0.0125,0.000963,0.004,0.000125,0.0015,5e-06,0.001,0.0
Hofstra,13,Midwest,1.0,0.095223,0.009729,0.00072,6.6e-05,3e-06,0.0,0.2144285858896972,2.465422925494465,0.0924986056779086,0.46891514222510583,0.03363585661014858,0.009729,0.010511205190671433,0.00072,0.003363585661014858,6.6e-05,0.0012613446228805717,3e-06,0.001,0.0
Furman,15,East,1.0,0.029161,0.00243,0.00012,3e-06,0.0,0.0,0.15162390716284693,3.2381064007959677,0.06540639132514965,0.19583391174700782,0.02378414230005442,0.00243,0.007432544468767007,0.00012,0.002378414230005442,3e-06,0.001,0.0,0.001,0.0
North Dakota St.,14,East,1.0,0.051216,0.004883,0.000391,5e-06,0.0,0.0,0.18031222920256965,2.8183742154872076,0.07778174593052023,0.29411273385636516,0.028284271247461905,0.004883,0.008838834764831846,0.000391,0.0028284271247461905,5e-06,0.0010606601717798214,0.0,0.001,0.0
Tennessee St.,15,Midwest,1.0,0.030466,0.002265,0.000111,2e-06,0.0,0.0,0.15162390716284693,3.2381064007959677,0.06540639132514965,0.20459778317905217,0.02378414230005442,0.002265,0.007432544468767007,0.000111,0.002378414230005442,2e-06,0.001,0.0,0.001,0.0
