team,seed,region,prob_R64,prob_R32,prob_S16,prob_E8,prob_F4,prob_Championship,prob_Champion,own_R64,value_R64,own_R32,value_R32,own_S16,value_S16,own_E8,value_E8,own_F4,value_F4,own_Championship,value_Championship,own_Champion,value_Champion
Siena,16,East,1.0,0.027119,0.002247,0.000216,2.7e-05,2e-06,0.0,0.1275,7.8431372549019605,0.055,0.4930727272727273,0.02,0.0,0.00625,0.0,0.002,0.0,0.001,0.0,0.001,0.0
TCU,9,East,1.0,0.190832,0.014357,0.00332,0.000686,8e-05,1.4e-05,0.4288571717793944,2.3317786568680807,0.1849972113558172,1.0315398735009058,0.06727171322029717,0.0,0.021022410381342865,0.0,0.006727171322029716,0.0,0.0025226892457611435,0.0,0.001,0.0
Texas,11,West,1.0,0.373791,0.149746,0.034197,0.004097,0.000495,9.1e-05,0.30324781432569387,3.297633000994959,0.1308127826502993,2.8574501086736475,0.04756828460010884,3.1480218649645684,0.014865088937534014,2.300490776994502,0.004756828460010884,0.0,0.0017838106725040815,0.0,0.001,0.0
Miami (OH),11,Midwest,1.0,0.161445,0.04981,0.013054,0.001431,0.000134,1.5e-05,0.30324781432569387,3.297633000994959,0.1308127826502993,1.2341683796421452,0.04756828460010884,0.0,0.014865088937534014,0.0,0.004756828460010884,0.0,0.0017838106725040815,0.0,0.001,0.0
Texas A&M,10,South,1.0,0.319245,0.050027,0.00811,0.001183,0.0002,2.6e-05,0.3606244584051393,2.7729677693590093,0.15556349186104046,2.0521845850899942,0.05656854249492381,0.8843607735604853,0.01767766952966369,0.0,0.005656854249492381,0.0,0.002121320343559643,0.0,0.001,0.0
Louisville,6,East,1.0,0.785253,0.393362,0.22456,0.045615,0.015922,0.004626,0.63,1.5873015873015872,0.35,2.24358,0.14,2.809728571428571,0.05,4.4912,0.02,2.2807500000000003,0.008,1.9902499999999999,0.003,0.0
Wisconsin,5,West,1.0,0.911737,0.55612,0.10895,0.053719,0.012117,0.004449,0.65,1.5384615384615383,0.38,2.3993078947368423,0.18,3.089555555555555,0.07,1.5564285714285713,0.03,1.7906333333333335,0.012,1.00975,0.004,0.0
St. John's,5,East,1.0,0.831783,0.438874,0.089097,0.046531,0.014402,0.003628,0.65,1.5384615384615383,0.38,2.1889026315789475,0.18,2.438188888888889,0.07,1.2728142857142855,0.03,1.5510333333333335,0.012,1.2001666666666666,0.004,0.0
Ohio St.,8,East,1.0,0.809168,0.102491,0.054513,0.029276,0.010625,0.003602,0.51,1.9607843137254901,0.22,3.6780363636363638,0.08,1.2811375,0.025,2.18052,0.008,3.6595,0.003,3.541666666666667,0.001,0.0
Arkansas,4,West,1.0,0.905901,0.421156,0.079555,0.038838,0.008615,0.003121,0.79,1.2658227848101264,0.52,1.7421173076923075,0.28,1.5041285714285713,0.12,0.6629583333333333,0.05,0.7767599999999999,0.025,0.0,0.008,0.0
Gonzaga,3,West,1.0,0.953127,0.576775,0.237084,0.053774,0.01346,0.003071,0.85,1.1764705882352942,0.62,1.5373016129032258,0.38,1.5178289473684212,0.18,1.3171333333333333,0.08,0.672175,0.04,0.33649999999999997,0.015,0.0
