team,seed,region,prob_R64,prob_R32,prob_S16,prob_E8,prob_F4,prob_Championship,prob_Champion,own_R64,value_R64,own_R32,value_R32,own_S16,value_S16,own_E8,value_E8,own_F4,value_F4,own_Championship,value_Championship,own_Champion,value_Champion
Kennesaw St.,14,West,1.0,0.046873,0.00345,0.000268,1.4e-05,2e-06,0.0,0.18031222920256965,1.227296776935901,0.07778174593052023,0.07466045559505186,0.028284271247461905,0.00345,0.008838834764831846,0.000268,0.0028284271247461905,1.4e-05,0.0010606601717798214,2e-06,0.001,0.0
Troy,13,South,1.0,0.054545,0.003225,0.000169,1.6e-05,4e-06,0.0,0.2144285858896972,1.1831778656868082,0.0924986056779086,0.08130197822173793,0.03363585661014858,0.003225,0.010511205190671433,0.000169,0.003363585661014858,1.6e-05,0.0012613446228805717,4e-06,0.001,0.0
Hawaii,13,West,1.0,0.094099,0.011092,0.000649,5.7e-05,2e-06,0.0,0.2144285858896972,1.1831778656868082,0.0924986056779086,0.14025914105210957,0.03363585661014858,0.011092,0.010511205190671433,0.000649,0.003363585661014858,5.7e-05,0.0012613446228805717,2e-06,0.001,0.0
High Point,12,West,1.0,0.088263,0.011632,0.000616,6.6e-05,4e-06,0.0,0.255,1.146078431372549,0.11,0.12396939545454544,0.04,0.011632,0.0125,0.000616,0.004,6.6e-05,0.0015,4e-06,0.001,0.0
Penn,14,South,1.0,0.04134,0.003447,0.00024,8e-06,1e-06,0.0,0.18031222920256965,1.227296776935901,0.07778174593052023,0.06584735848568353,0.028284271247461905,0.003447,0.008838834764831846,0.00024,0.0028284271247461905,8e-06,0.0010606601717798214,1e-06,0.001,0.0
Wright St.,14,Midwest,1.0,0.035602,0.002392,0.000201,5e-06,1e-06,0.0,0.18031222920256965,1.227296776935901,0.07778174593052023,0.05670773238527588,0.028284271247461905,0.002392,0.008838834764831846,0.000201,0.0028284271247461905,5e-06,0.0010606601717798214,1e-06,0.001,0.0
Queens (N.C.),15,West,1.0,0.033875,0.00275,0.00014,4e-06,0.0,0.0,0.15162390716284693,1.279763300099496,0.06540639132514965,0.058077037333381445,0.02378414230005442,0.00275,0.007432544468767007,0.00014,0.002378414230005442,4e-06,0.001,0.0,0.001,0.0
Howard,16,Midwest,1.0,0.025785,0.002435,0.000169,1.3e-05,0.0,0.0,0.1275,1.342156862745098,0.055,0.04793665909090909,0.02,0.002435,0.00625,0.000169,0.002,1.3e-05,0.001,0.0,0.001,0.0
Idaho,15,South,1.0,0.031945,0.003763,0.000261,1e-05,2e-06,0.0,0.15162390716284693,1.279763300099496,0.06540639132514965,0.05476814635025447,0.02378414230005442,0.003763,0.007432544468767007,0.000261,0.002378414230005442,1e-05,0.001,2e-06,0.001,0.0
Cal Baptist,13,East,1.0,0.079015,0.009006,0.000544,3.7e-05,5e-06,0.0,0.2144285858896972,1.1831778656868082,0.0924986056779086,0.11777570463270001,0.03363585661014858,0.009006,0.010511205190671433,0.000544,0.003363585661014858,3.7e-05,0.0012613446228805717,5e-06,0.001,0.0
Akron,12,Midwest,1.0,0.094627,0.015217,0.000963,0.000125,5e-06,0.0,0.255,1.146078431372549,0.11,0.13290792272727273,0.04,0.015217,0.0125,0.000963,0.004,0.000125,0.0015,5e-06,0.001,0.0
Hofstra,13,Midwest,1.0,0.095223,0.009729,0.00072,6.6e-05,3e-06,0.0,0.2144285858896972,1.1831778656868082,0.0924986056779086,0.14193451777813823,0.03363585661014858,0.009729,0.010511205190671433,0.00072,0.003363585661014858,6.6e-05,0.0012613446228805717,3e-06,0.001,0.0
Furman,15,East,1.0,0.029161,0.00243,0.00012,3e-06,0.0,0.0,0.15162390716284693,1.279763300099496,0.06540639132514965,0.04999511396837597,0.02378414230005442,0.00243,0.007432544468767007,0.00012,0.002378414230005442,3e-06,0.001,0.0,0.001,0.0
North Dakota St.,14,East,1.0,0.051216,0.004883,0.000391,5e-06,0.0,0.0,0.18031222920256965,1.227296776935901,0.07778174593052023,0.08157809173204564,0.028284271247461905,0.004883,0.008838834764831846,0.000391,0.0028284271247461905,5e-06,0.0010606601717798214,0.0,0.001,0.0
Tennessee St.,15,Midwest,1.0,0.030466,0.002265,0.000111,2e-06,0.0,0.0,0.15162390716284693,1.279763300099496,0.06540639132514965,0.05223247289738152,0.02378414230005442,0.002265,0.007432544468767007,0.000111,0.002378414230005442,2e-06,0.001,0.0,0.001,0.0
